Package               Version
--------------------- -------------------------------
airdrop-ng            1.1
airgraph-ng           1.1
argcomplete           3.6.3
arrow                 1.4.0
attrs                 26.1.0
autocommand           2.2.2
bcrypt                5.0.0
btrfsutil             7.0
build                 1.4.3
certifi               2026.4.22
cffi                  2.0.0
charset-normalizer    3.4.7
circuitbreaker        2.1.3
click                 8.3.3
colorama              0.4.6
colorclass            2.2.2
contourpy             1.3.3
crc32c                2.8
cryptography          48.0.0
cupshelpers           1.0
cycler                0.12.1
dbus-python           1.4.0
distro                1.9.0
fastjsonschema        2.21.2
filelock              3.29.0
fonttools             4.62.1
gps                   3.27.5
idna                  3.15
iniconfig             2.3.0
installer             1.0.0
invoke                3.0.3
jaraco.collections    5.1.0
jaraco.context        6.1.3.dev0+g098f39c91.d20260403
jaraco.functools      4.1.0
jaraco.text           4.0.0
Jinja2                3.1.6
jmespath              1.1.0
kiwisolver            1.5.0
lark                  1.3.1
libfdt                1.7.2
lit                   22.1.5.dev0
lxml                  6.1.0
markdown-it-py        4.0.0
MarkupSafe            3.0.3
matplotlib            3.10.9
mdurl                 0.1.2
more-itertools        11.0.2
msgpack               1.1.2
nanobind              2.12.0
nftables              0.1
numpy                 2.4.4
oci                   2.177.0
oci-cli               3.85.0
OpenTimelineIO        0.18.1
packaging             26.2
paramiko              5.0.0
pillow                12.2.0
pip                   26.1.1
pipx                  1.12.0
pkg_resources         81.0.0
platformdirs          4.9.6
pluggy                1.6.0
poetry-core           2.4.0
prompt_toolkit        3.0.52
pwquality             1.4.5
pyaaf2                1.7.1
pybind11              3.0.4
pycairo               1.29.0
pycparser             3.0
pycryptodome          3.23.0
pycups                2.0.4
Pygments              2.20.0
PyGObject             3.56.3
PyJWT                 2.13.0
PyNaCl                1.6.2
PyOpenGL              3.1.10
pyOpenSSL             26.2.0
pyparsing             3.3.2
pyproject_hooks       1.2.0
PyQt6                 6.11.0
PyQt6_sip             13.11.1
PySide6               6.11.1
pytest                9.0.3
python-can            4.6.1
python-dateutil       2.9.0.post0
python-docx           1.2.0
python-pptx           1.0.2
pytz                  2026.1
pyxdg                 0.28
PyYAML                6.0.3
Reflector             2023.6.28.0.36.1
requests              2.34.2
retrying              1.4.2
rich                  15.0.0
setuptools            82.0.1
shiboken6             6.11.1
shiboken6-generator   6.11.1
shtab                 1.8.0
six                   1.17.0
smbus                 1.1
TBB                   2023.0.0
termcolor             3.3.0
terminaltables3       4.0.0
terminaltexteffects   0.14.2
tldr                  3.4.4
tomlkit               0.15.0
types-python-dateutil 2.9.0.20260508
typing_extensions     4.15.0
ufw                   0.36.2
urllib3               2.7.0
userpath              1.9.2
VapourSynth           75
wcwidth               0.7.0
wheel                 0.47.0
wrapt                 2.1.2
xlsxwriter            3.2.9
xmltodict             1.0.4
yq                    3.4.3
